Year,Month,Datasource,Portroute,Arrivedepart,Traffictotal,Periodstart,Periodend,AM_PM_night,Haul
2017,3,Air,351,2,21085,,,,E
2017,3,Air,361,2,7331,,,,E
2017,3,Air,371,2,12079,,,,E
2017,3,Air,381,2,28100,,,,E
2017,3,Air,391,2,21889,,,,E
2017,3,Air,401,2,12177,,,,E
2017,3,Air,411,2,24356,,,,E
2017,3,Air,421,2,21755,,,,E
2017,3,Air,441,2,11831,,,,E
2017,3,Air,451,2,0,,,,E
2017,3,Air,461,2,0,,,,E
2017,3,Air,471,2,1147,,,,E
2017,3,Air,481,2,7045,,,,E
