,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
149,651,2,1.0,1.0,10.0,88.0,1.0,880.0,880.0,880.0,21.0,18480.0
75,651,2,,,,,,880.0,880.0,,21.0,18480.0
336,652,1,1.0,1.0,,27.0,0.0,,,,,
337,652,2,1.0,1.0,,27.0,0.0,,,,,
150,671,1,1.0,1.0,20.0,168.0,19.0,176.842105263,176.842105263,176.842105263,73.0,12909.4736842
76,671,1,,,,,,176.842105263,176.842105263,,73.0,12909.4736842
151,671,2,1.0,1.0,20.0,168.0,17.0,197.647058824,197.647058824,197.647058824,76.0,15021.1764706
77,671,2,,,,,,197.647058824,197.647058824,,76.0,15021.1764706
338,672,1,1.0,1.0,,0.0,0.0,,,,,
339,672,2,1.0,1.0,,0.0,0.0,,,,,
340,682,1,1.0,1.0,,69.0,0.0,,,,,
341,682,2,1.0,1.0,,68.0,0.0,,,,,
152,691,1,1.0,1.0,10.0,90.0,6.0,150.0,150.0,150.0,143.0,21450.0
78,691,1,,,,,,150.0,150.0,,143.0,21450.0
153,691,2,1.0,1.0,10.0,90.0,8.0,112.5,112.5,112.5,217.0,24412.5
79,691,2,,,,,,112.5,112.5,,217.0,24412.5
154,692,1,1.0,1.0,10.0,114.0,2.0,570.0,570.0,570.0,44.0,25080.0
80,692,1,,,,,,570.0,570.0,,44.0,25080.0
155,692,2,1.0,1.0,10.0,115.0,6.0,191.666666667,191.666666667,191.666666667,79.0,15141.6666667
81,692,2,,,,,,191.666666667,191.666666667,,79.0,15141.6666667
156,701,1,1.0,1.0,10.0,176.0,1.0,1760.0,1760.0,1760.0,6.0,10560.0
82,701,1,,,,,,1760.0,1760.0,,6.0,10560.0
157,701,2,1.0,1.0,10.0,176.0,1.0,1760.0,1760.0,1760.0,5.0,8800.0
83,701,2,,,,,,1760.0,1760.0,,5.0,8800.0
158,711,1,1.0,1.0,10.0,176.0,1.0,1760.0,1760.0,1760.0,3.0,5280.0
