,SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK
528,4.10218841071e+11,,,49.0,3.0
529,4.10218841078e+11,,,32.0,0.0
530,4.10218856001e+11,,,,
531,4.10218856004e+11,236.0,,30.0,
532,4.10218856013e+11,350.0,,50.0,
533,4.10218856016e+11,,,32.0,0.0
534,4.10218856022e+11,50.0,,50.0,
535,4.10218856026e+11,,,41.0,3.0
536,4.10218856028e+11,,,37.0,3.0
537,4.1021885603e+11,,,,
538,4.10218856032e+11,,,37.0,3.0
539,4.10218856046e+11,63.0,,50.0,
540,4.10218856054e+11,450.0,,29.0,
541,4.10218856058e+11,,,46.0,2.0
542,4.10218856062e+11,67.0,,31.0,
543,4.10218856066e+11,250.0,,33.0,
544,4.10218856081e+11,154.0,,40.0,
545,4.10228310001e+11,,,32.0,0.0
546,4.10228310002e+11,,,33.0,1.0
547,4.10228310003e+11,,,32.0,0.0
548,4.10228310004e+11,,,90.0,1.0
549,4.10228310301e+11,,,66.0,5.0
550,4.10228310307e+11,,,50.0,5.0
551,4.10228310312e+11,,,66.0,5.0
552,4.10228310317e+11,,,85.0,1.0
553,4.10228310318e+11,,,54.0,2.0
554,4.10228310319e+11,,,,
555,4.10228310321e+11,,,66.0,5.0
556,4.10228310323e+11,,,54.0,2.0
557,4.10228310326e+11,2315.0,,65.0,3.0
558,4.1022831033e+11,,,56.0,1.0
559,4.10228331003e+11,,,33.0,1.0
560,4.10228331004e+11,,,55.0,5.0
561,4.10228331006e+11,,,49.0,3.0
562,4.10228331007e+11,,,33.0,1.0
563,4.1022833101e+11,,,32.0,0.0
564,4.10228331017e+11,,,,
565,4.10228331019e+11,,,55.0,5.0
566,4.10228331023e+11,,,50.0,4.0
567,4.10228331025e+11,325.0,,33.0,1.0
568,4.10228331026e+11,1165.0,,66.0,5.0
569,4.1022833103e+11,,,,
570,4.10228331032e+11,,,49.0,3.0
571,4.10228331033e+11,,,,
572,4.10228331034e+11,,,55.0,2.0
573,4.10228331039e+11,,,,
574,4.10228777011e+11,,,50.0,5.0
575,4.10228777013e+11,,,49.0,3.0
576,4.10228777014e+11,,,66.0,5.0
577,4.10228777016e+11,,,63.0,1.0
578,4.10228777021e+11,,,,
579,4.10228777024e+11,,,85.0,1.0
580,4.10228777025e+11,,,39.0,3.0
581,4.10228777027e+11,,,41.0,3.0
582,4.10228777028e+11,215.0,,41.0,3.0
583,4.10228777031e+11,,,50.0,4.0
584,4.10228777034e+11,,,63.0,1.0
585,4.10228777035e+11,,,54.0,2.0
586,4.1022877704e+11,,,55.0,5.0
587,4.10228801001e+11,,,41.0,3.0
588,4.10228801002e+11,815.0,,32.0,2.0
589,4.10228801005e+11,,,65.0,3.0
590,4.10228801007e+11,,,33.0,1.0
591,4.10228801008e+11,,,90.0,1.0
592,4.10228801009e+11,,,90.0,1.0
593,4.10228801013e+11,,,55.0,3.0
594,4.10228801015e+11,,,39.0,3.0
595,4.10228801025e+11,,,41.0,3.0
596,4.10228801027e+11,,,41.0,3.0
597,4.1022880103e+11,,,32.0,0.0
598,4.10228801034e+11,,,33.0,1.0
599,4.10228801035e+11,,,32.0,0.0
600,4.10228801039e+11,,,66.0,5.0
601,4.1022880104e+11,135.0,,33.0,1.0
602,4.10228801041e+11,,,54.0,2.0
603,4.10228801046e+11,,,74.0,5.0
604,4.10228801048e+11,,,74.0,5.0
605,4.1022880105e+11,,,54.0,2.0
606,4.10228801054e+11,,,50.0,5.0
607,4.10228801057e+11,215.0,,45.0,0.0
608,4.10228801059e+11,631.0,,33.0,1.0
609,4.10228840004e+11,,,50.0,5.0
