,SERIAL,SHIFT_WT
3395,11030043,40.0
3396,11030044,40.0
3397,11030045,40.0
3398,11030046,40.0
3399,11030047,40.0
3400,11030048,40.0
3401,11030049,40.0
3402,11030050,40.0
3403,11030051,40.0
3404,11030052,40.0
3405,11030053,40.0
3406,11030054,40.0
3407,11030055,40.0
3408,11030056,40.0
3409,11030057,40.0
3410,11030058,40.0
3411,11030059,40.0
3412,11030060,40.0
3413,11030061,40.0
3414,11030062,40.0
3415,11030063,40.0
3416,11030064,40.0
3417,11030065,40.0
3418,11030066,40.0
3419,11030067,40.0
3420,11030068,40.0
3421,11030069,40.0
3422,11030070,40.0
3423,11030071,40.0
3424,11030072,40.0
3425,11030073,40.0
3426,11030074,40.0
3427,11030075,40.0
3428,11030076,40.0
3429,11030077,40.0
3430,11030078,40.0
3431,11030079,40.0
3432,11030080,40.0
3433,11030081,40.0
3434,11030082,40.0
3435,11030083,40.0
3436,11030084,40.0
3437,11030085,40.0
3438,11030086,40.0
3439,11030087,40.0
3440,11030088,40.0
3441,11030089,40.0
3442,11030090,40.0
3443,11030091,40.0
3444,11030092,40.0
3445,11030093,40.0
3446,11030094,40.0
3447,11030095,40.0
3448,11030096,40.0
3449,11030099,40.0
3450,11030100,40.0
3451,11030101,40.0
3452,11030102,40.0
3453,11030103,40.0
3454,11030104,40.0
3455,11030105,40.0
3456,11030106,40.0
3457,11030107,40.0
3458,11030108,40.0
3459,11030109,40.0
3460,11030110,40.0
3461,11030111,40.0
3462,11030112,40.0
3463,11030113,40.0
3464,11030114,40.0
3465,11030115,40.0
3466,11030116,40.0
3467,11030117,40.0
3468,11030118,40.0
3469,11030119,40.0
3470,11030120,40.0
3471,11030121,40.0
3472,11030122,40.0
3473,11030123,40.0
3474,11030124,40.0
3475,11032001,40.0
3476,11032002,40.0
3477,11032003,40.0
3478,11032004,40.0
3479,11032005,40.0
3480,11032006,40.0
3481,11032007,40.0
3482,11032008,40.0
3483,11032009,40.0
3484,11032010,40.0
3485,11032011,40.0
3486,11032012,40.0
3487,11032013,40.0
3488,11032014,40.0
3489,11032015,40.0
3490,11032016,40.0
3491,11032017,40.0
3492,11032018,40.0
3493,11032019,40.0
3494,11032020,40.0
3495,11032021,40.0
3496,11032022,40.0
3497,11032023,40.0
3498,11032024,40.0
3499,11032025,40.0
3500,11032026,40.0
3501,11032027,40.0
3502,11032028,40.0
3503,11032029,40.0
3504,11032030,40.0
3505,11032031,40.0
3506,11032032,40.0
3507,11032033,40.0
3508,11032034,40.0
3509,11032035,40.0
3510,11032036,40.0
3511,11032037,40.0
3512,11032038,40.0
3513,11032039,40.0
3514,11032040,40.0
3515,11032041,40.0
3516,11032042,40.0
3517,11032043,40.0
3518,11032044,40.0
3519,11032045,40.0
3520,11032046,40.0
3521,11032047,40.0
3522,11032048,40.0
3523,11032049,40.0
3524,11032050,40.0
3525,11032051,40.0
3526,11032052,40.0
3527,11032053,40.0
3528,11032054,40.0
3529,11032055,40.0
3530,11032056,40.0
3531,11032057,40.0
3532,11032058,40.0
3533,11032059,40.0
3534,11032060,40.0
3535,11032061,40.0
3536,11032062,40.0
3537,11032063,40.0
3538,11032064,40.0
3539,11032065,40.0
3540,11032066,40.0
3541,11032067,40.0
3542,11032068,40.0
3543,11032069,40.0
3544,11032070,40.0
